market,funding_total_usd,status,status_binary,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,SUM_funding_total_usd
 Enterprise Software ," 9,80,000 ",closed,not_operating,USA,MA,Boston,Boxborough,1,1/1/01,1,Q1,2001,1/3/06,1/3/06,0,980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980000,0,0,0,1960000
 Hardware + Software ," 10,00,000 ",operating,operating,USA,CA,Ontario - Inland Empire,Riverside,1,1/1/08,1,Q1,2008,9/30/09,9/30/09,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000
 Mobile ," 2,51,31,611 ",acquired,not_operating,USA,GA,Atlanta,Atlanta,3,1/1/01,1,Q1,2001,3/1/06,1/2/07,0,25131611,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,25181611
 Mobile ," 3,97,90,000 ",operating,operating,USA,CA,SF Bay Area,Campbell,4,1/1/03,1,Q1,2003,6/3/03,9/30/09,0,39790000,0,0,0,0,0,0,0,0,0,0,0,3200000,13600000,0,14400000,8590000,0,0,0,79580000
 Finance ," 1,92,00,000 ",operating,operating,USA,IL,Chicago,Chicago,3,1/1/05,1,Q1,2005,4/4/07,6/3/10,0,19200000,0,0,0,0,0,0,0,0,0,0,0,3700000,8500000,7000000,0,0,0,0,0,38400000
 Software ," 44,50,000 ",operating,operating,CAN,ON,Toronto,Toronto,2,10/1/06,10,Q4,2006,4/15/07,5/15/08,950000,0,0,0,0,0,3500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450000
 Search ,"85,000",operating,operating,USA,MA,Boston,Cambridge,1,1/1/13,1,Q1,2013,1/1/13,1/1/13,85000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85000
 Health and Wellness ,"50,000",operating,operating,USA,FL,Florida's Space Coast,Melbourne Beach,1,5/30/07,5,Q2,2007,8/10/12,8/10/12,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000
 Animal Feed ," 46,00,000 ",operating,operating,USA,TX,Austin,Austin,1,1/1/14,1,Q1,2014,6/18/14,6/18/14,0,0,0,0,0,0,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4600000
 Finance ," 1,45,03,750 ",operating,operating,USA,MA,Boston,Boston,3,1/1/05,1,Q1,2005,11/28/06,10/22/10,0,14000000,0,0,0,503750,0,0,0,0,0,0,0,0,9000000,0,0,0,0,0,0,23503750
